category,value,question,answer,image,answer_image,,,
Linear Equations,100,"Solve 4x - 7 = 21.","Add 7 to both sides.
4x = 28

Divide by 4.
x = 7

The solution is x = 7.",,,,
Linear Equations,200,"Solve 3(x + 5) = 27.","Divide both sides by 3.
x + 5 = 9

Subtract 5.
x = 4

The solution is x = 4.",,,,
Linear Equations,300,"Solve 5x - 2 = 3x + 14.","Subtract 3x from both sides.
2x - 2 = 14

Add 2.
2x = 16

Divide by 2.
x = 8

The solution is x = 8.",,,,
Linear Equations,400,"Solve 2(3x - 4) + 5 = 19.","Distribute first.
6x - 8 + 5 = 19

Combine like terms.
6x - 3 = 19

Add 3.
6x = 22

Divide by 6.
x = 11/3

The solution is x = 11/3.",,,,
Linear Equations,500,"The sum of twice a number and 9 is the same as 5 less than 4 times the number. Find the number.","Let the number be x.

Twice the number plus 9 is 2x + 9.
Five less than 4 times the number is 4x - 5.

Set them equal.
2x + 9 = 4x - 5

Subtract 2x.
9 = 2x - 5

Add 5.
14 = 2x

Divide by 2.
x = 7

The number is 7.",,,,
,,,,,,,,
Systems of Equations,100,"Solve the system y = x + 4 and x = 6.","Substitute x = 6 into y = x + 4.

y = 6 + 4
y = 10

The solution is (6 10).",,,,
Systems of Equations,200,"Solve the system x + y = 13 and x = 5.","Substitute x = 5 into x + y = 13.

5 + y = 13

Subtract 5.
y = 8

The solution is (5 8).",,,,
Systems of Equations,300,"Solve the system y = 2x + 1 and x + y = 10.","Substitute y = 2x + 1 into x + y = 10.

x + 2x + 1 = 10
3x + 1 = 10

Subtract 1.
3x = 9

Divide by 3.
x = 3

Now find y.
y = 2(3) + 1 = 7

The solution is (3 7).",,,,
Systems of Equations,400,"Solve the system x + y = 11 and x - y = 1.","Add the equations.

(x + y) + (x - y) = 11 + 1
2x = 12

Divide by 2.
x = 6

Substitute into x + y = 11.
6 + y = 11

Subtract 6.
y = 5

The solution is (6 5).",,,,
Systems of Equations,500,"Solve the system 2x + y = 11 and x - y = 1.","Add the equations to eliminate y.

(2x + y) + (x - y) = 11 + 1
3x = 12

Divide by 3.
x = 4

Substitute into x - y = 1.
4 - y = 1

Subtract 4 from both sides.
-y = -3

So y = 3

The solution is (4 3).",,,,
,,,,,,,,
Functions and Slope,100,"Find the value of y when y = 3x - 2 and x = 5.","Substitute x = 5.

y = 3(5) - 2
y = 15 - 2
y = 13

The value of y is 13.",,,,
Functions and Slope,200,"Find the slope of the line through (2 3) and (6 11).","Use slope = change in y over change in x.

11 - 3 = 8
6 - 2 = 4

Slope = 8/4 = 2

The slope is 2.",,,,
Functions and Slope,300,"Does the table represent a linear function?

x: 1 2 3 4
y: 4 7 10 13","Check the change in y.

7 - 4 = 3
10 - 7 = 3
13 - 10 = 3

The change is constant so the relationship is linear.

Yes this table represents a linear function.",,,,
Functions and Slope,400,"Find the equation of a line with slope 3 and y intercept -4.","Use slope intercept form.

y = mx + b

The slope m is 3 and the y intercept b is -4.

So the equation is y = 3x - 4.",,,,
Functions and Slope,500,"A line passes through (1 2) and has slope 4. Find its equation in slope intercept form.","Use y = mx + b.

The slope m = 4 so y = 4x + b.

Substitute the point (1 2).
2 = 4(1) + b
2 = 4 + b

Subtract 4.
b = -2

So the equation is y = 4x - 2.",,,,
,,,,,,,,
Exponents and Scientific Notation,100,"Evaluate 2^4 × 2^3.","When multiplying powers with the same base add the exponents.

2^4 × 2^3 = 2^7

2^7 = 128

The value is 128.",,,,
Exponents and Scientific Notation,200,"Evaluate (3^2)^3.","Use the power of a power rule.

(3^2)^3 = 3^6

3^6 = 729

The value is 729.",,,,
Exponents and Scientific Notation,300,"Write 0.00045 in scientific notation.","Move the decimal so the number is between 1 and 10.

0.00045 becomes 4.5

The decimal moved 4 places to the right so the exponent is negative 4.

The answer is 4.5 × 10^-4.",,,,
Exponents and Scientific Notation,400,"Write 6.2 × 10^5 in standard form.","A positive exponent of 5 means move the decimal 5 places to the right.

6.2 becomes 620000

The standard form is 620000.",,,,
Exponents and Scientific Notation,500,"Simplify (2^3 × 2^5) ÷ 2^4.","First combine the powers in the numerator.

2^3 × 2^5 = 2^8

Now divide by 2^4.
2^8 ÷ 2^4 = 2^4

2^4 = 16

The value is 16.",,,,
,,,,,,,,
Pythagorean Theorem and Geometry,100,"A right triangle has legs 6 and 8. Find the hypotenuse.","Use the Pythagorean theorem.

6^2 + 8^2 = c^2
36 + 64 = c^2
100 = c^2

c = 10

The hypotenuse is 10.",,,,
Pythagorean Theorem and Geometry,200,"Find the distance between (1 1) and (4 5).","Find the horizontal and vertical changes.

4 - 1 = 3
5 - 1 = 4

Use the Pythagorean theorem.
3^2 + 4^2 = 9 + 16 = 25

The distance is √25 = 5.",,,,
Pythagorean Theorem and Geometry,300,"A square has side length 10. Find the length of its diagonal.","The diagonal of a square forms a right triangle with legs 10 and 10.

d^2 = 10^2 + 10^2
d^2 = 100 + 100
d^2 = 200

d = √200
d = 10√2

The diagonal is 10√2.",,,,
Pythagorean Theorem and Geometry,400,"A rectangular prism has length 5 width 4 and height 3. Find its volume.","Use the volume formula.

Volume = length × width × height

5 × 4 × 3 = 60

The volume is 60 cubic units.",,,,
Pythagorean Theorem and Geometry,500,"A ladder 13 feet long leans against a wall. The bottom of the ladder is 5 feet from the wall. How high up the wall does the ladder reach?","This forms a right triangle.

The ladder is the hypotenuse so c = 13.
The distance from the wall is one leg so a = 5.
Let the height be b.

Use the Pythagorean theorem.
5^2 + b^2 = 13^2
25 + b^2 = 169

Subtract 25.
b^2 = 144

b = 12

The ladder reaches 12 feet up the wall.",,,,
