category,value,question,answer,image,answer_image,,,
Fractions & Decimals,100,Write 3/4 as a decimal.,"Divide 3 ÷ 4.
3 ÷ 4 = 0.75
So the decimal form of 3/4 is 0.75.",,,,
Fractions & Decimals,200,Find the sum: 5/6 + 1/3,"Find a common denominator.
1/3 = 2/6
5/6 + 2/6 = 7/6
7/6 = 1 1/6 as a mixed number.",,,,
Fractions & Decimals,300,Solve the expression: 3/5 × 4/7 = ?,"Multiply numerators and denominators.
3 × 4 = 12
5 × 7 = 35
The answer is 12/35.",,,,
Fractions & Decimals,400,A student runs 2/3 mile each day for 5 days. How far does the student run total?,"Multiply the fraction by the number of days.
2/3 × 5 = 10/3
Convert to a mixed number.
10/3 = 3 1/3 miles.",,,,
Fractions & Decimals,500,A water tank is 3/5 full. Then 1/4 of the tank capacity is added. How full is the tank now?,"Find a common denominator.
3/5 = 12/20
1/4 = 5/20
Add the fractions.
12/20 + 5/20 = 17/20
The tank is 17/20 full.",,,,
,,,,,,,,
Ratios & Rates,100,Simplify the ratio 15:20,"Find the greatest common factor.
The GCF of 15 and 20 is 5.
15 ÷ 5 = 3
20 ÷ 5 = 4
The simplified ratio is 3:4.",,,,
Ratios & Rates,200,8 notebooks cost $12. What is the unit price?,"Unit rate means cost for one item.
12 ÷ 8 = 1.50
Each notebook costs $1.50.",,,,
Ratios & Rates,300,A map scale is 1 cm = 5 km. How many kilometers does 7 cm represent?,"Multiply using the scale.
7 × 5 = 35
The distance is 35 km.",,,,
Ratios & Rates,400,The ratio of boys to girls in a class is 3:5. There are 24 students total. How many are girls?,"Total ratio parts = 3 + 5 = 8.
Each part = 24 ÷ 8 = 3.
Girls = 5 × 3 = 15.",,,,
Ratios & Rates,500,A cyclist travels 180 miles in 3 hours. What is the speed in miles per hour?,"Speed = distance ÷ time.
180 ÷ 3 = 60
The cyclist travels 60 miles per hour.",,,,
,,,,,,,,
Expressions & Equations,100,Evaluate 9 + 2 × 6.,"Use order of operations.
Multiply first.
2 × 6 = 12
Then add.
9 + 12 = 21.",,,,
Expressions & Equations,200,Solve x + 14 = 29.,"Subtract 14 from both sides.
x = 29 − 14
x = 15.",,,,
Expressions & Equations,300,Solve 7x = 56.,"Divide both sides by 7.
x = 56 ÷ 7
x = 8.",,,,
Expressions & Equations,400,Solve 4x + 3 = 23.,"Subtract 3 from both sides.
4x = 20
Divide by 4.
x = 5.",,,,
Expressions & Equations,500,Three times a number plus 8 equals 29. Find the number.,"Write the equation.
3x + 8 = 29
Subtract 8.
3x = 21
Divide by 3.
x = 7.",,,,
,,,,,,,,
Geometry,100,Find the area of a rectangle with length 7 cm and width 5 cm.,"Area = length × width.
7 × 5 = 35
The area is 35 cm².",,,,
Geometry,200,"Find the perimeter of a triangle with sides 6 cm, 8 cm, and 10 cm.","Perimeter is the sum of the side lengths.
6 + 8 + 10 = 24
The perimeter is 24 cm.",,,,
Geometry,300,Find the area of a triangle with base 10 cm and height 6 cm.,"Use the triangle area formula.
Area = 1/2 × base × height
1/2 × 10 × 6 = 30
The area is 30 cm².",,,,
Geometry,400,A rectangular prism has length 8 cm width 3 cm and height 5 cm. Find the volume.,"Volume = length × width × height.
8 × 3 × 5 = 120
The volume is 120 cm³.",34Qrectangular-prism-diagram.png,34Avolume-multiplication-steps.png,,,
Geometry,500,Find the area of a trapezoid with bases 12 cm and 8 cm and height 5 cm.,"Use the trapezoid area formula.
A = 1/2(b1 + b2)h
1/2(12 + 8) × 5
1/2(20 × 5) = 50
The area is 50 cm².",35Qtrapezoid-area-diagram.png,35Atrapezoid-area-steps.png,,,
,,,,,,,,
Statistics & Data,100,"Find the mean of 6, 8, and 10","Mean = sum ÷ number of values.
6 + 8 + 10 = 24
24 ÷ 3 = 8.",,,,
Statistics & Data,200,"Find the median of 4, 7, 9, and 13","Order the numbers.
4, 7, 9, 13
There are four numbers so average the middle two.
(7 + 9) ÷ 2 = 8.",,,,
Statistics & Data,300,"A data set includes 2, 5, 5, 6, and 9. What is the mode?","The mode is the number that appears most often.
5 appears twice.
The mode is 5.",,,,
Statistics & Data,400,A bar graph shows 18 red votes 12 blue votes and 10 green votes. How many votes total?,"Add all the categories.
18 + 12 + 10 = 40
There are 40 total votes.",40Qbar-graph-votes.png,40Atotal-votes-addition.png,,,
Statistics & Data,500,The average of 5 numbers is 12. What is the total of the numbers?,"Average = total ÷ number of values.
Total = average × number.
12 × 5 = 60
The total of the numbers is 60.",,,,
